Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     14.69     0.00    33228     0.00     0.00  std::pair<bool, unsigned long>::pair<bool, int>(std::pair<bool, int>&&)
  0.00     14.69     0.00    33228     0.00     0.00  std::remove_reference<bool&>::type&& std::move<bool&>(bool&&&)
  0.00     14.69     0.00    33228     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&&&)
  0.00     14.69     0.00    33228     0.00     0.00  std::pair<std::__decay_and_strip<bool>::__type, std::__decay_and_strip<int>::__type> std::make_pair<bool, int>(bool&&, int&&)
  0.00     14.69     0.00    26411     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00     14.69     0.00    25732     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_M_incr_bucket()
  0.00     14.69     0.00       72     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00     14.69     0.00       72     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00     14.69     0.00       72     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00     14.69     0.00       72     0.00     0.00  std::move_iterator<std::string*> std::make_move_iterator<std::string*>(std::string* const&)
  0.00     14.69     0.00       68     0.00     0.00  std::move_iterator<NgramList::Ngram*>::move_iterator(NgramList::Ngram*)
  0.00     14.69     0.00       68     0.00     0.00  std::move_iterator<NgramList::Ngram*> std::make_move_iterator<NgramList::Ngram*>(NgramList::Ngram* const&)
  0.00     14.69     0.00       55     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00     14.69     0.00       54     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00     14.69     0.00       52     0.00     0.00  std::_Vector_base<NgramList::Ngram, std::allocator<NgramList::Ngram> >::_M_get_Tp_allocator()
  0.00     14.69     0.00       51     0.00     0.00  __gnu_cxx::new_allocator<NgramList::Ngram>::max_size() const
  0.00     14.69     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00     14.69     0.00       36     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00     14.69     0.00       36     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::max_size() const
  0.00     14.69     0.00       36     0.00     0.00  std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00     14.69     0.00       36     0.00     0.00  std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&)
  0.00     14.69     0.00       36     0.00     0.00  std::string* std::__uninitialized_move_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&)
  0.00     14.69     0.00       35     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     14.69     0.00       34     0.00     0.00  std::_Vector_base<NgramList::Ngram, std::allocator<NgramList::Ngram> >::_M_get_Tp_allocator() const
  0.00     14.69     0.00       34     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::max_size() const
  0.00     14.69     0.00       34     0.00     0.00  NgramList::Ngram* std::__uninitialized_copy<false>::uninitialized_copy<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*)
  0.00     14.69     0.00       34     0.00     0.00  NgramList::Ngram* std::uninitialized_copy<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*)
  0.00     14.69     0.00       34     0.00     0.00  NgramList::Ngram* std::__uninitialized_copy_a<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*, NgramList::Ngram>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*, std::allocator<NgramList::Ngram>&)
  0.00     14.69     0.00       34     0.00     0.00  NgramList::Ngram* std::__uninitialized_move_a<NgramList::Ngram*, NgramList::Ngram*, std::allocator<NgramList::Ngram> >(NgramList::Ngram*, NgramList::Ngram*, NgramList::Ngram*, std::allocator<NgramList::Ngram>&)
